"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Z5DI664B","blogPost","","Stone, Carina","Life Doesn’t Give Up","Michael Stone Teaching","","","","https://michaelstoneteaching.com/life-doesnt-give-up/","Our oldest child, who now calls himself Dolphin, told me recently that everyone dies and everything changes but it’s ok because girls keep having babies. Life doesn’t give up, he added, brain splittingly.","","2021-03-30 03:02:01","2021-04-02 15:35:59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YYCNWH8E","podcast","","Wiser, Tonya","Unhindered: Introduction - Part 1","","","","","https://www.audiodharma.org/talks/audio_player/8572.html","","","2021-03-30 03:16:10","2021-03-30 03:18:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZFP9Z4GA","blogPost","","","The original inspiration for Surya Namaskar","Ekhart Yoga","","","","https://www.ekhartyoga.com/articles/practice/the-original-inspiration-for-surya-namaskar","","","2021-03-30 03:30:13","2025-10-05 13:04:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LR77I93X","webpage","","","WorldCat.org: The World's Largest Library Catalog","","","","","https://www.worldcat.org/","","","2021-03-30 20:51:16","2024-07-17 14:23:49","2021-03-30 20:51:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WMJC742E","radioBroadcast","","","The Adios Lounge","The Adios Lounge","","","","http://www.adioslounge.com/","Seducing you with wit and wisdom since 2008","","2021-03-30 21:02:20","2024-05-11 13:28:37","2021-03-30 21:02:20","","","","","","","","","","","","","","en-US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WNS9K3Q7","radioBroadcast","","","Bob Brainen's show","WFMU","","","","http://wfmu.org/playlists/BB","Playlists & archives","","2021-03-30 22:37:41","2024-05-11 13:28:19","2021-03-30 22:37:41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YE5YW5NS","webpage","","","Mark Wyville Photography","Mark Wyville ~ photographer","","","","https://www.markwyville.com/index.html","Mark Wyville photographs the world of Education, Sports, Equine and Theatre. Including an photo archive of Bruce Springsteen and great race horses.","","2021-03-30 22:43:09","2025-10-12 17:13:06","2021-03-30 22:43:09","","","","","","","","","","","","","","en","","","","","","","","","","","Artists","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GSIZFATN","webpage","","","BuddhaNet","","","","","http://www.buddhanet.net/","Worldwide Buddhist Information and Education Network","","2021-03-30 22:46:17","2021-04-02 11:51:54","2021-03-30 22:46:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N32EGYHB","webpage","","","American Institute of Vedic Studies","","","","","https://www.vedanet.com/","","","2021-03-30 22:48:43","2021-03-30 22:52:21","2021-03-30 22:48:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X5Y9WPI2","blogPost","","","Prepare for a software engineering job interview","","","","","https://www.quora.com/?pa_story=MTczNDA5MzEyNzEyNTM2Nzk4OXwyMTExMDYyMzU4NTc1MDN8MA**","","","2021-03-30 22:57:49","2024-07-19 00:54:26","2021-03-30 22:57:49","","","","","","","","","","","","","","","","","","","","","","","","","Active Job Search","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SPIGJ47","blogPost","","","Advice says to skip this part of your resume","","","","","https://www.theladders.com/career-advice/advice-says-to-skip-this-part-of-your-resume-but-experts-say-it-can-be-key-to-a-career-change","","","2021-03-30 23:05:23","2024-07-19 00:55:26","2021-03-30 23:05:23","","","","","","","","","","","","","","","","","","","","","","","","","Active Job Search","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FVG27JY","blogPost","2021","","The Sadhana of Kali Yuga","Integral Yoga Magazine","","","","https://integralyogamagazine.org/hatha-yoga-the-sadhana-of-kali-yuga-and-hathas-texts/","The sages advised that since, in Kali Yuga, humankind is preoccupied with the body, an important sadhana or spiritual practice for this age is Hatha Yoga—the science of achieving higher consciousness through the disciplines of body and breath. In this article, the director and the chairman of the International Centre for Yoga Education and Research […]","2021-02-13","2021-03-30 23:06:48","2024-05-18 20:47:22","2021-03-30 23:06:48","","","","","","","Hatha Yoga","","","","","","","en-US","","","","","","","","","","","30.05 Swami Satchidananda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WY6BNGJ3","blogPost","","","A Great Resume","GitLab","","","","https://about.gitlab.com/handbook/ceo/","This page details processes specific to Sid, CEO of GitLab.","","2021-03-30 23:14:53","2025-10-05 13:04:17","2021-03-30 23:14:53","","","","","","","","","","","","","","en","","","","","","","","","","","Active Job Search","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HDA2VKJM","webpage","","","IDEO.org is a nonprofit design studio","IDEO.org","","","","https://www.ideo.org/","IDEO.org is on a mission to design a better world. We partner with organizations and communities to design products and services that disrupt inequality and expand opportunity.","","2021-03-30 23:19:04","2024-07-17 20:47:48","2021-03-30 23:19:04","","","","","","","","","","","","","","en","","","","","","","","","","","Building Products","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YVYYBBE5","webpage","","","Sri Guruvayurappan Temple, Morganville NJ","","","","","http://www.krishnatemple.org/index.html","","","2021-04-02 11:38:19","2021-04-02 11:40:32","2021-04-02 11:38:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E273HT6H","presentation","","","Slim Harpo: Tip On In Lesson","","","","","https://drive.google.com/file/d/1AkyJ5NYDwJGbQ4Ot4ZN2DmPcH6yEB2Is/view?usp=sharing","","","2021-04-02 12:35:25","2025-10-29 11:10:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
